Date,Open,High,Low,Close
12/2020,"1,162.67","1,309.53","1,162.20","1,292.26"
11/2020,"925.81","1,161.63","913.49","1,130.25"
10/2020,"886.12","973.06","873.59","911.89"
09/2020,"885.11","956.02","854.81","882.48"
08/2020,"831.35","905.58","827.16","881.22"
07/2020,"793.32","856.01","771.51","821.40"
06/2020,"755.52","888.88","752.55","791.98"
05/2020,"664.67","760.24","605.86","749.21"
04/2020,"610.29","729.06","586.74","685.03"
03/2020,"859.38","907.57","507.13","630.61"
02/2020,"980.58","1,047.54","829.62","854.34"
01/2020,"1,111.64","1,114.20","973.61","977.23"
