Date,Open,High,Low,Close
12/2018,"1,127.84","1,144.47","979.44","1,013.13"
11/2018,"1,189.88","1,235.45","1,047.15","1,098.77"
10/2018,"1,269.84","1,297.07","1,119.43","1,174.67"
09/2018,"1,195.07","1,285.45","1,144.89","1,264.69"
08/2018,"1,327.61","1,327.61","1,165.53","1,214.95"
07/2018,"1,242.15","1,352.38","1,237.59","1,327.61"
06/2018,"1,340.40","1,392.18","1,233.40","1,254.86"
05/2018,"1,338.82","1,439.46","1,304.04","1,324.79"
04/2018,"1,268.07","1,389.43","1,231.26","1,345.96"
03/2018,"1,394.84","1,413.28","1,217.36","1,272.84"
02/2018,"1,389.83","1,454.29","1,249.14","1,381.70"
01/2018,"1,295.55","1,443.82","1,295.55","1,389.47"
