Date,Open,High,Low,Close
12/2016,"1,111.01","1,214.30","1,056.41","1,057.76"
11/2016,"932.33","1,130.79","895.77","1,099.51"
10/2016,"861.87","938.43","836.87","922.17"
09/2016,"829.58","879.26","770.13","858.66"
08/2016,"899.18","914.31","820.02","826.70"
07/2016,"770.00","904.44","750.40","896.37"
06/2016,"688.11","790.61","680.76","770.49"
05/2016,"830.64","837.05","662.49","696.39"
04/2016,"688.66","862.44","677.11","831.01"
03/2016,"560.89","718.10","555.85","700.51"
02/2016,"488.78","556.69","471.44","548.35"
01/2016,"544.96","547.50","433.23","497.67"
