Date,Open,High,Low,Close
12/2019,"1,044.19","1,120.50","1,024.74","1,099.33"
11/2019,"997.07","1,057.51","995.56","1,043.79"
10/2019,"965.29","1,010.04","909.53","981.77"
09/2019,"927.11","1,047.24","899.65","965.09"
08/2019,"1,065.97","1,065.97","878.49","929.36"
07/2019,"1,138.73","1,141.72","1,059.17","1,066.33"
06/2019,"1,008.95","1,121.92","1,008.95","1,121.05"
05/2019,"1,113.09","1,132.16","1,002.67","1,006.62"
04/2019,"1,178.57","1,219.11","1,106.31","1,112.90"
03/2019,"1,168.06","1,188.40","1,105.34","1,154.44"
02/2019,"1,137.99","1,195.04","1,092.44","1,161.72"
01/2019,"991.34","1,155.80","986.72","1,151.00"
