Date,Open,High,Low,Close
12/2021,"1,441.54","1,593.06","1,434.28","1,580.20"
11/2021,"1,567.89","1,592.62","1,427.56","1,441.54"
10/2021,"1,535.67","1,636.09","1,492.10","1,567.89"
09/2021,"1,767.99","1,791.61","1,508.69","1,535.67"
08/2021,"1,845.76","1,922.80","1,691.60","1,767.99"
07/2021,"1,766.28","1,895.24","1,645.50","1,845.76"
06/2021,"1,809.11","1,876.11","1,674.67","1,766.28"
05/2021,"1,701.78","1,955.92","1,701.78","1,809.11"
04/2021,"1,600.47","1,762.68","1,568.40","1,701.78"
03/2021,"1,406.99","1,610.39","1,406.99","1,600.47"
02/2021,"1,255.59","1,519.80","1,255.59","1,406.99"
01/2021,"1,343.28","1,473.93","1,251.41","1,255.59"
