YY_MM,GEN_VAL_MO_x_1220,GEN_VAL_MO_x_2010,GEN_VAL_MO_x_2050,GEN_VAL_MO_x_2110,GEN_VAL_MO_x_2150,GEN_VAL_MO_x_2230,GEN_VAL_MO_x_2250,GEN_VAL_MO_x_2470,GEN_VAL_MO_x_2740,GEN_VAL_MO_x_3010,GEN_VAL_MO_x_3310,GEN_VAL_MO_x_3330,GEN_VAL_MO_x_3350,GEN_VAL_MO_x_3370,GEN_VAL_MO_x_3510,GEN_VAL_MO_x_3530,GEN_VAL_MO_x_4000,GEN_VAL_MO_x_4010,GEN_VAL_MO_x_4039,GEN_VAL_MO_x_4050,GEN_VAL_MO_x_4099,GEN_VAL_MO_x_4120,GEN_VAL_MO_x_4190,GEN_VAL_MO_x_4210,GEN_VAL_MO_x_4231,GEN_VAL_MO_x_4239,GEN_VAL_MO_x_4279,GEN_VAL_MO_x_4280,GEN_VAL_MO_x_4330,GEN_VAL_MO_x_4351,GEN_VAL_MO_x_4359,GEN_VAL_MO_x_4370,GEN_VAL_MO_x_4419,GEN_VAL_MO_x_4470,GEN_VAL_MO_x_4490,GEN_VAL_MO_x_4510,GEN_VAL_MO_x_4550,GEN_VAL_MO_x_4622,GEN_VAL_MO_x_4623,GEN_VAL_MO_x_4633,GEN_VAL_MO_x_4634,GEN_VAL_MO_x_4700,GEN_VAL_MO_x_4710,GEN_VAL_MO_x_4759,GEN_VAL_MO_x_4791,GEN_VAL_MO_x_4792,GEN_VAL_MO_x_4793,GEN_VAL_MO_x_4801,GEN_VAL_MO_x_4840,GEN_VAL_MO_x_4850,GEN_VAL_MO_x_4870,GEN_VAL_MO_x_4890,GEN_VAL_MO_x_5081,GEN_VAL_MO_x_5170,GEN_VAL_MO_x_5180,GEN_VAL_MO_x_5200,GEN_VAL_MO_x_5230,GEN_VAL_MO_x_5250,GEN_VAL_MO_x_5330,GEN_VAL_MO_x_5350,GEN_VAL_MO_x_5420,GEN_VAL_MO_x_5490,GEN_VAL_MO_x_5520,GEN_VAL_MO_x_5550,GEN_VAL_MO_x_5570,GEN_VAL_MO_x_5590,GEN_VAL_MO_x_5600,GEN_VAL_MO_x_5650,GEN_VAL_MO_x_5700,GEN_VAL_MO_x_5800,GEN_VAL_MO_x_5820,GEN_VAL_MO_x_5880,GEN_VAL_MO_x_6021,GEN_VAL_MO_x_6141,GEN_VAL_MO_x_7230,GEN_VAL_MO_x_7910,Agreements_1220,Agreements_2010,Agreements_3510,Agreements_5800,Agreements_6021,pre_post_tariff,PMI,STEEL_PRICE
2015-11,1158621101.0,473661297.0,3294743.0,680013.0,144692.0,2622835.0,608351.0,2523847.0,23755295.0,14674480.0,713354.0,96597.0,89815.0,935243.0,193894957.0,127023.0,1230185.0,45135710.0,6387973.0,13076884.0,5111109.0,87680961.0,1284893.0,59787672.0,23954639.0,18154211.0,69557583.0,247384162.0,47875697.0,15391363.0,1662935.0,1321816.0,15381755.0,71897.0,362508.0,216994.0,8542080.0,429001.0,4586555.0,1638360.0,115260.0,40419782.0,4286058.0,121695962.0,33441.0,5428496.0,33458.0,260946.0,18858429.0,12211463.0,413880.0,66573127.0,7985977.0,5605447.0,16587371.0,42698147.0,5070099.0,27635887.0,122159978.0,604870.0,261121.0,71314065.0,35783531.0,763383.0,20506764.0,3200588.0,18545127.0,3202301.0,998090199.0,292109645.0,4429877.0,273864447.0,11471496.0,4429486.0,1077800.0,32853902.0,0.0,0.0,0.0,0.0,0.0,0,49.1,641.0450000000001
2015-12,1051202247.0,450505941.0,2188141.0,915357.0,351369.0,2459465.0,898055.0,2339270.0,27205390.0,14168885.0,465794.0,29318.0,45172.0,1061756.0,138870336.0,213377.0,1134252.0,54321542.0,22280460.0,5118778.0,5335839.0,106475621.0,1163820.0,74029054.0,20882727.0,13862177.0,95241467.0,296266452.0,44544659.0,30604303.0,1948719.0,2392840.0,14320826.0,525371.0,221209.0,220530.0,8646779.0,173899.0,7119498.0,615008.0,0.0,37311763.0,3792904.0,125761015.0,291026.0,4935462.0,12984.0,226298.0,6695460.0,8745276.0,179308.0,80898006.0,9058210.0,9309102.0,20677255.0,74317087.0,6054962.0,12867977.0,97595173.0,1013537.0,388605.0,56560542.0,60392327.0,1213535.0,17995317.0,2852517.0,25218574.0,3023369.0,1099708015.0,266787243.0,5049324.0,267124967.0,36761268.0,3110619.0,78659.0,42651712.0,0.0,0.0,0.0,0.0,0.0,0,48.7,571.3050000000001
2016-01,1184225905.0,492490725.0,1504108.0,603859.0,237495.0,1899733.0,771625.0,2646862.0,19977032.0,13480579.0,423099.0,42818.0,21398.0,1072203.0,177234677.0,449725.0,837390.0,47959852.0,17249697.0,13728550.0,5160589.0,61932052.0,927490.0,34101220.0,19334704.0,12597732.0,66037109.0,254955446.0,45221719.0,25890722.0,3160514.0,1386247.0,13817063.0,306822.0,175055.0,529581.0,8299463.0,100738.0,5881054.0,15726561.0,7437439.0,42034110.0,4669757.0,91942226.0,433930.0,5787245.0,91330.0,409216.0,3536144.0,15352667.0,320891.0,100761242.0,8445658.0,6234958.0,15897511.0,75453555.0,4937067.0,33264137.0,97535304.0,2463871.0,293669.0,50642225.0,52825533.0,1556354.0,18361139.0,3062915.0,22142203.0,2204561.0,1186843175.0,261762619.0,4077328.0,303729216.0,35100422.0,6281137.0,1183037.0,42706819.0,0.0,0.0,0.0,0.0,0.0,0,47.6,490.365
2016-02,1061861219.0,466648816.0,2022963.0,740110.0,177016.0,2669287.0,611044.0,2116925.0,18807664.0,14558432.0,349454.0,134674.0,64275.0,1861557.0,130028651.0,217165.0,1585175.0,48734816.0,11530296.0,11974450.0,4099317.0,76778319.0,1629308.0,55056242.0,20708670.0,12671007.0,81403322.0,219527415.0,47098465.0,26715685.0,1624619.0,1271966.0,11317810.0,229026.0,206970.0,2451570.0,8935427.0,1248458.0,18778941.0,1202370.0,7347059.0,26377151.0,6039125.0,90710433.0,294459.0,5723225.0,81118.0,274706.0,7090121.0,13067821.0,459819.0,83761760.0,9495986.0,13061060.0,16899478.0,103951950.0,3221141.0,24116272.0,120715910.0,920335.0,434993.0,63262181.0,57460153.0,1017711.0,15785155.0,2454187.0,15451244.0,5690020.0,1232154901.0,303636361.0,3832648.0,215121629.0,23250464.0,4061170.0,1639758.0,102057832.0,0.0,0.0,0.0,0.0,0.0,0,49.2,514.065
2016-03,1176973043.0,493045099.0,1740794.0,560337.0,232552.0,2344811.0,887922.0,3205997.0,25183092.0,17937129.0,652602.0,43518.0,42636.0,3347443.0,204184774.0,579628.0,1783760.0,65746619.0,16302678.0,10140096.0,5760593.0,88409412.0,2182806.0,56711013.0,22089444.0,11105120.0,122254698.0,271295158.0,57429676.0,26409834.0,2820984.0,2213830.0,13438944.0,236203.0,342613.0,362457.0,10719031.0,474278.0,14876336.0,199181.0,17857277.0,30973302.0,7493551.0,130469565.0,310365.0,8357104.0,149564.0,379542.0,6967479.0,13539728.0,766063.0,93318514.0,11208247.0,6697926.0,24910511.0,107111950.0,4726223.0,16432714.0,126794570.0,1384067.0,395198.0,55935801.0,48203131.0,1131271.0,17417954.0,3121779.0,19221591.0,3061834.0,924025723.0,277137483.0,3244089.0,257911466.0,17041606.0,10820613.0,504886.0,20589062.0,0.0,0.0,0.0,0.0,0.0,0,51.0,636.975
2016-04,1116359041.0,492344981.0,2251034.0,761341.0,463140.0,3301867.0,494477.0,3862989.0,19248779.0,16792110.0,465945.0,46288.0,86434.0,2996542.0,175990876.0,458052.0,1414896.0,62631079.0,9493192.0,12575776.0,4887738.0,77906196.0,1396272.0,47165723.0,23627000.0,12329215.0,78642954.0,249662406.0,46757381.0,41991997.0,3051255.0,999155.0,12573204.0,739518.0,137033.0,245162.0,10467544.0,206917.0,17643147.0,5711320.0,113763.0,52896779.0,5936873.0,128968057.0,142633.0,4020318.0,36651.0,506656.0,8773220.0,10723178.0,494591.0,86018383.0,9484101.0,5730800.0,23232577.0,96282742.0,5731307.0,49132649.0,111210444.0,1485996.0,103391.0,55505553.0,52296561.0,733273.0,16620729.0,2712102.0,22562647.0,3094981.0,1125030061.0,284002122.0,4103213.0,236026145.0,23303909.0,5122386.0,793821.0,69021257.0,0.0,0.0,0.0,0.0,0.0,0,51.3,769.7750000000001
2016-05,1256687450.0,497530520.0,1623877.0,469119.0,537870.0,3088076.0,550267.0,3044201.0,12839772.0,21172185.0,668207.0,144228.0,111906.0,6592332.0,206109264.0,170774.0,775891.0,47751626.0,16000501.0,12009207.0,7968342.0,96640161.0,2159344.0,57074779.0,23502651.0,17144071.0,75155034.0,290822177.0,55442551.0,26556317.0,2061884.0,912376.0,13224538.0,169545.0,290920.0,463479.0,8757079.0,539998.0,22819952.0,458625.0,37921.0,62951154.0,4469714.0,103257627.0,508996.0,4970205.0,172160.0,497215.0,5587263.0,6484781.0,654893.0,79199263.0,7743791.0,13339777.0,29604791.0,90120835.0,6244560.0,37260646.0,96374183.0,795629.0,356407.0,46834665.0,60919874.0,927041.0,19096756.0,2658644.0,16634496.0,3084386.0,1254344104.0,299248762.0,4668249.0,237917574.0,10106337.0,3095026.0,916508.0,70659953.0,0.0,0.0,0.0,0.0,0.0,0,51.4,749.77
2016-06,1222169570.0,513289533.0,2611133.0,799563.0,407999.0,3644523.0,769357.0,3950812.0,26715839.0,25178909.0,440658.0,141912.0,67162.0,4246212.0,160695313.0,222010.0,2171295.0,69246319.0,8570208.0,14711111.0,8082958.0,80120589.0,1835585.0,66807000.0,25898413.0,13660014.0,90216999.0,247409346.0,48396986.0,19712953.0,2582272.0,1294990.0,13335338.0,228771.0,50244.0,896696.0,8222078.0,235975.0,15395672.0,21075979.0,2221966.0,58658578.0,5134284.0,124598032.0,231198.0,5440031.0,86979.0,749184.0,6825573.0,7268607.0,320561.0,110216275.0,9698698.0,9440434.0,33178110.0,125386614.0,9238136.0,36340576.0,104057966.0,1611168.0,555158.0,68572543.0,58605894.0,1118712.0,17155404.0,2929638.0,23111775.0,2383166.0,1150691243.0,295690827.0,7260951.0,301821953.0,9959805.0,1333261.0,1571242.0,40511458.0,0.0,0.0,0.0,0.0,0.0,0,52.2,735.685
2016-07,1220307782.0,499637137.0,3285524.0,418460.0,383436.0,2945548.0,489150.0,2569924.0,37071220.0,19460690.0,401227.0,9506060.0,125771.0,2908037.0,251882292.0,189534.0,2537743.0,49552239.0,7861076.0,25352908.0,7207436.0,100425589.0,1526347.0,79211818.0,22370236.0,11411634.0,107922581.0,234037204.0,57313528.0,28204040.0,2249113.0,967739.0,14853568.0,205393.0,323155.0,269268.0,9155730.0,80122.0,28559199.0,471988.0,5413542.0,49613941.0,5414344.0,131240128.0,92750.0,5714794.0,123415.0,224320.0,6973796.0,5448006.0,356646.0,167079778.0,8624451.0,11656906.0,26779609.0,90847955.0,20938804.0,37089782.0,121350628.0,1242008.0,347903.0,74352823.0,63073522.0,1343847.0,20130431.0,3595425.0,24316412.0,5425832.0,1159803901.0,362371446.0,7157683.0,276443862.0,36086409.0,2146940.0,937686.0,72712004.0,0.0,0.0,0.0,0.0,0.0,0,52.7,827.4200000000001
2016-08,1264070005.0,582321068.0,3432796.0,360148.0,473432.0,3304930.0,976674.0,2429164.0,29222272.0,21501775.0,659941.0,42594.0,67383.0,1868033.0,208163697.0,221637.0,2547254.0,59144611.0,7135551.0,13734240.0,6585975.0,93786035.0,1092828.0,68780994.0,23415079.0,10945393.0,78635795.0,284337821.0,59100886.0,17776670.0,2725116.0,1558523.0,14363921.0,356607.0,185865.0,369082.0,8065142.0,581622.0,72824879.0,12154949.0,19560713.0,40005077.0,5725027.0,132686219.0,117536.0,7197422.0,45229.0,653201.0,6159474.0,7486124.0,760254.0,94320940.0,9336277.0,8981523.0,28528932.0,104438716.0,6714913.0,30934706.0,98216863.0,2288824.0,372100.0,77880341.0,94744439.0,1317031.0,19199697.0,3417022.0,19932099.0,2910500.0,1237889197.0,304038960.0,5866884.0,284831541.0,14004825.0,2623996.0,555404.0,88740671.0,0.0,0.0,0.0,0.0,0.0,0,49.8,867.165
